,reviewText,predSumary,actualSummary
4593,"This set it very cute.  But just realize 8pcs of the set are napkins like the title states.  They are packed well in a box which was fine but some of the napkins were bent and you cannot fix them.  Also, some of them were discolored. Because of this they only get 3 stars and I like the Sophias brand too. I wish you did not include these paper napkins like you are getting a generous 16 piece set.",These are napkins like the title states. They're packed well in a box which was fine but some of them were bent and you can’t fix it,"Food cute, Napkins not good!"
4594,"To my surprise, I have discovered that WordPerfect is NOT dead!  It can only get better from that antiquated software of the early 90s, and Microsoft blew them away.  But, I guess there is reincarnation!

I like the program, and what I like is that one can open this to be strictly WordPerfect style OR, get this...you can have it open this in a Microsoft Word mode.  Excellent option!  And when I become more acquainted, I may choose the WordPerfect mode.

But I cannot help but think that these software programs should create simple, easier to use, usable programs.  The average user will never get to some sections.  And why would we need the  And you need to purchase the impressive Corel Visual Intelligence, which is mainly geared for businesses.

The WordPerfect Lighting for creating notes seems redundant to a Word doc, and I see this program as unnecessary, not extremely beneficial.  For a busy Word professional, I am quite sure it can be helpful, or if you have nothing better to do, go for it.

There are many neat features in WordPerfect, so many that one needs to experiment with and compare to Microsoft Word.  Excel too, has some great benefits and features that you have not seen in Word, and with time, you will learn them.

If you want to incorporate your email setup to the WordPerfect email, you have that option.

You can learn a lot from this WordPerfect program, unfortunately, the average user does not have a whole lot of time for learning more software, new software, or complicated software.  But all in all, this is NICE !!.....Rizzo",Perfect for a business.,And I thought WordPerfect was dead long ago!
4595,"Unfortunately, I have seen this garbage flick plenty of times.  My now 27 year old daughter was a huge fan back in the day so like many parents, I suffered through it.  Now since she is married and with a daughter of her own, I figured this would be a great nostalgic gift for her and I was right.  She loved it, her daughter was unimpressed and her husband is not happy at all since she watches the movie quite often.",A great nostalgic gift for her and I was right,"Crap movie, great gift!"
4596,This gift card was timely received in good condition  was properly credited with the amount indicated. I was happy with this purchase,Good gift card,GIFT CARDS WITH FREE SHIPPING?!? WHAT'S NOT TO LIKE?!?
4597,very useful,Five Stars,Five Stars
4598,Standard stuff but much more economical than buying it at the local store for $10/can.,So far the best stuff,Five Stars
4599,"Life not ""Life"" is work, kidshours upon hours of passionate, singleminded, obsessive, bleedingfingers work. And if you have got an open soulthat is a hell of an ""if""and if you are lucky enough to meet your Mick Jagger, and if by some miracle you manage to remain alive despite the dangers of your own openness, you might make for the rest of us something that matters.

While I was reading this wonderful memoirwhich is less about girls and drugs although they are in there than about the working life of an artistI was reminded of a question by the German poet Durs Grnbein:

""I do not want to frighten you, but have you ever thought about what happens to people who are not artists?""

Keith Richards spared himself that terror. If you want a glimpse into the cost of that callingthe highest calling that we can call a professionthen give his book a long listen. Like his music, it is worth every minute.","Life not ""Life"" is work, kidshours upon hours of passionate and singleminded...",Let There Be Life
4600,"this one was defective, i ordered a new one. returning it getting refund thanks","This one was defective, i ordered another",Four Stars
4601,"The whole ""Out with the old, in with the new vibe, I am half and half with Kanye. Do not disrespect, just one man's honest opinion","The whole ""Out with the old, in...",New Kanye
4602,ok. penzeys better,Five Stars,ok
4603,best quality,Five Stars,Five Stars
4604,bought as a gift for my wife very nice detail the wife loves it.,Five Stars,Five Stars
4605,"Bought one and then another. Works well for me, fit, support, easy on and off even with closures at the back. So far Champion has not disappointed me. Will purchase again from Amazon though, Champion takes forever to fulfill their orders.",Good quality.,Good Bra
4606,"Unicorn Rainbow farts, how can you not LOVE this?!",Five Stars,Unicorn Magic
4607,"I would not recommend them but I would not tell anyone not to get them, they are just regular quality expected for the price.",I would not recommend them but...,It's okay
4608,"Very compact, with a large amount of storage. However, cannot leave it plugged in when booting up Windows 7, as the screen locks up. Took awhile to figure out what was causing the lockup, but solved the problem by only connecting it when needed.","Very compact, with a large amount of storage",Compact case with large storage capacity.
4609,as described,Five Stars,Five Stars
4610,"Purchased this for my wife, she loves the product.  She uses it very night, can see a difference in her skin.",Great product,"Purchased this for my wife, she loves the product ..."
4611,Its OK.,Five Stars,Three Stars
4612,"One cannot program 2 of them. One yes. But I would like to have a spare. That is what this was purchased for, a spare.
When I contacted the supplier of these and asked about how this was done, to program 2 of them, the answer was, ""how would I know, I just sell them."" And you will not get any directions with it; but, you can go to youtube to see a video if one is foolish enough to buy one from this character.",You're going to see a video,Seriously!
4613,I read this as part of a set of mysteries and bought it just for this author.  I love reading about Quincy and her florist shop and this time she is keeping busy looking for her engagement ring and judging a food contest.  I like seeing how she gets out of her scrapes and what pops up next with her family.,A great author!,enjoyable
4614,Great stencil with distinct cutting.,Five Stars,Five Stars
4615,Very pretty. Smaller than expected.,Five Stars,Three Stars
4616,"I loved the twists and turns in the plot. How the characters interacted with each other. The racing was a big thumps up for me too,",Very good plot,I loved the twists and turns in the plot
4617,"Monster is known for good quality cables but also for being pretty expensive, so I was suprised to see that these cables were only running $20 for 12 ft. and $25 for 21 ft.

I did not bother looking at them at Guitar Center as I just thought, I am sure they are nice but I will not even bother looking at the price. The sales rep recommended them when I asked about some quality cables and told me about their lifetime guarantee. I am tired of cables going on the fuzz and having to buy new ones only 23 yrs. after purchase so after seeing the price, I went for it.

End result, they work perfectly. I was having some buzz and noise from my older cables but that is all gone now. The Monster cable sounds clean and clear. No more background interference.

If you will notice from the picture, Monster wisely chose to cover the bottom of the plug with a nice rubber cover. No more of those metal covers that unscrew, allowing dirt and dust to get in there. Those things caused alot of trouble for me over the years and I am glad to not have to mess around with them anymore. The blue stripe is one of a few different color bands, which are included, that you can use to color code your cables with. So you can color each one for each purpose. Good feature.

I like this cable and it is good to know that it will be replaced for free forever under normal use and wear and tear. I have stayed away from Monster for home theater as their audio/video cables are outrageously over priced. But for playing guitar, I think I have my new brand. Recommended.",Excellent quality cable,"Good Cable, Good Features, Good Price"
4618,"The software itself is robust and quite useful for the graphics designer in your firm or family. Installation is fairly simple but activation was another story. From within the program , it failed to recognize my password or if that was my user error, it failed to let me change it. Giving error messages. It did know that I had an account with my email address. Finally I went directly to Corel.com and changed my password there. Mission accomplished, or so I thought. Once opening one part of the suite and entering the info, you still need to validate an email link before access is granted to the other portions of the suite. Once these hurdles are overcome you should enjoy the newest version of CorelDRAW Graphics Suite X8",The software itself is robust and quite useful for the graphics designer in your firm or family,CorelDRAW Graphics Suite X8 - Amazon Exclusive.
4619,"Amazing quality, looks amazing, feels amazing. Lifetime Warranty to Brenthaven. I originally got it for my mac pro and ipad. Now I use it for my surface and cables etc. Amazing bag for everyday use","Amazing Quality, looks amazing. Lifetime Warranty to Brenthaven",Amazing bag for everyday use
4620,"Anyone who thinks they do not have a problem with lint should look at these pictures.  My house is only 10 years old and this is what came out of our vent.  That does not even include what was cleaned out from our dryer filter and what was in just the dryer unit.  This product is very easy to use.  I definitely suggest taping each junction to make sure they do not separate in the vent.  I broke my cleaning into 4 cleanings. Fist cleaning was with just the brush and the first extension.  After ensuring that section is clean I added the second and so forth until the brush came out clean.  Given the length of the brush with all four sections, I found it easier to have another set of hands guide the brush into the vent while the other set was operating the drill.
I noticed that when I turned the dryer back on there was some lint that was dislodged and blew out the outside vent opening.  Unfortunately in my case some lodged between the slats and is keeping the vent opening from fully closing.  I will be making a trip up my ladder once the ground dries a little so I can remove those pieces.  A little price to pay for a clean vent.",- This product is very easy to use,Excellent product and showed me that my vent obviously needed a cleaning
4621,keeps the computer cooler even though i overclock my cpu. its great!!!,Supercool,no problems
4622,Really nice.,Five Stars,Five Stars
4623,Really very beautiful and well designed. Great taste in colors the design is fantastic. In the body falls nicely. I recommend.,Five Stars,Very beautiful
4624,Very happy with vacuum.  Arrived on time.,Five Stars,Five Stars
4625,"This long neck dinosaur is exactly as pictured, with a greyblue color which is very nice. Very detailled and quality is there, with his whipped tail, it is different from other long neck dinosaur figurines from other known brands. Highly recommended.","Very detailled and quality is there, with his whipped tail",Very detailled
4626,I have order re manufactured ink before but this one ran out way too soon. I was trying to save some money but it cost me more in the end.,I've ordered re manufactured ink before but this one ran out way too soon,Not  Good
4627,"I loved FFTL's last cd Dear Diary, and have heard countless people say how much better it is than Heroine. I, however, disagree. Heroine and Dear Diary are almost impossible to compare because they are so different it is almost hard to tell that it is the same band. Heroine makes Dear Diary seem very poppy in comparison, as this cd is much darker and moodier, with stronger vocals and more original melodies. Granted, FFTL's overall sound is not all that unique, but Sonny Moore's haunting vocals screaming out against heavy guitar riffs and even accompanied by opraish vocals in the last two songs make for an incredable cd. In my opinon, the best songs are World War Me, Shame Shame, Waves Goodbye, Heroine, and Mothersound. My least favorite song is The Crows are Coming for Us, but besides that all the songs are fantastic and I would reccomend it for anyone.

Side note to any concerned parents looking at this album for their kids: Heroine is one of the only albums you can get in this genre that contains NO curse words except in the first two songs Mothersound and The Latest Plauge. The lyrics contain no negative or inappropriate subject matter and all in all this cd is appropriate for kids of all ages except for the first to tracks that use [...] a couple of times.","A very strong and sappy, but without any negative or inappropriate subject matter",My favorite CD of this year by FAR.
4628,Great product!,Five Stars,Five Stars
4629,Did what I needed it to do,Five Stars,Five Stars
4630,This has to be one of the best purchases I have ever made for my cats. They love this scratching surface and it is so important to have good scratching spots in the house. I love that it is not the same material as my furniture so it is easier to teach them what is ok for them to screw scratch.,Good for cats,Must Have for Cat Owners
4631,"Cut the first node off and the inside of the next one fits
over the 27mm port on Festool sanders, routers, jigsaws.
The outside probably fits inside the port on the saws, or close
enough.

My Festool saw is in another state away so checking is not
convenient  this widget does lack the groove in the rubber
that helps hold the Festool hose inside the saw port however,
so this is probably not optimal for use with the saws.

The material is flexible rubber, not rigid plastic.  As such
it stretches a bit and is carveable with a knife to make it
fit.

I am using this to adapt a Festool sander to a Kobalt brand
wallmount vacuum. Compatible with the Kobalt hose and with
the Festool port. Works great and no threat of popping off
in use.",Works great and no threat of popping off in use,Works with Festool
4632,"Item came on time, brand new satisfied with product",Five Stars,Satisfied with product
4633,"This Ohio powertrio's got the riffs, chops and swagger to make you wish for a triple bill at the Agora. Rock may no longer be popular music's prevailing tide, but Mount Carmel's heavy bottom end, powerful drums and scorching lead guitar sound like a day has not passed since Cream, Grand Funk, Rory Gallagher, Blue Cheer, Ten Years After, Mountain and others ruled the hard rock roost. Even with tasty guitar solos, the songs are concise only two weigh in at over four minutes and the playing is tight. Matthew Reed fronts the band without overdoing the machismo, and his guitar playing is supported by a solid rhythm section that features his brother Patrick on bass and James McCain on drums. There is a hint of hippiejam in their instrumental passages, but no twentyminute Fillmore excess  at least not in the studio. If today's popular music does not have the muscle and grit to get you moving, this is one to check out. [2014 Hyperbolium]",Great Performance,Ohio power-trio riffs on heavy '60s and '70s blues-rock
4634,perfect for rc airplanes,Five Stars,A BAG OF NUTS
4635,"Now I do not have to throw away any over ripe bananas, I just freeze them right in the peel and they keep for months.

I have only used the Matcha in smoothies so far, with 1 over ripe frozen banana, 1C milk, 1/2 tsp. vanilla extract, 1/4 tsp. Matcha, 1 tsp. sweetener in my Vita Mix, and it was  absolutely delicious!  With antioxidants  energy boost from the green tea, tastes better than a milk shake, what is not to like?

Not as bright green as the picture, does not bother me at all.",Perfect for smoothies,Very happy with it.  No complaints at all.
4636,GOOD,Five Stars,Five Stars
4637,This is a difficult size to find. Not in local stores. I needed this size for an old dresser we reburbished.... looks great.,This is a difficult size to find. Not in local stores,looks great.
4638,"My gosh i think its a bit more than expected, its more than a cell phone. I must say it was unlocked made a call as soon as i fitted my sim. Great i am thinking of getting another.",great i'm thinking of getting another.,GREAT JUST GREAT
4639,Does what its supposed to do.,Five Stars,Five Stars
4640,"I have bought about 3 or 4 sets of these mirrors and I have never regretted it.  They are cheap and easy to install on various types of bars.  Easily adjustable and I have only had minor issues with some of them staying in place.  I broke my first set on a driveway drop, but did not feel bad because they are so inexpensive.  Once on, they provide good vision at a comfortable location right above your wrists.  Recommended!",Great for your space,Great set of bar-ends.
4641,ok,Five Stars,Five Stars
4642,"It is so easy to use and sets quickly. The problem is that it is not very flexible. This is so much thicker and more dense than silicone molds. The texture is like a rubber eraser. If you have a flat piece you want to make a mold out of, it will work fine. I used this to make mini cupcake base molds for clay and it did not turn out well.",Easy to use and sets quickly,"Dense mold, not very flexible"
4643,funny stuff,Five Stars,Five Stars
4644,"I am not a big fan of Folk music, which is what this is classified as, I guess?
The lyrics are so fair and true, simple yet profound.  I listened to this over and over recently while working on something and it was like mental Yoga.

Fantastic!",...,Wonderful Music
4645,Great price,Five Stars,Five Stars
4646,"Do not even have to go to the store to get this!  And who does not love a movie?  Great gift card, came within two days.",Great gift card,And who doesn't love a movie
4647,Tasty,Four Stars,Five Stars
4648,"Good product, easy to clean and high quality.",Five Stars,Five Stars
4649,"Excellent product.  Attractive styling.  Case fits hard drive very well. A space is provided to stow the plugin
cord.  It may cost more than other carry cases, but with the quality and styling, it is well worth it.",Attractive styling. Case fits hard drive very well,Hard Drive Carry Case
4650,Always buy Campbells,Five Stars,Five Stars
4651,love it,Five Stars,Five Stars
4652,"This device is absolute garbage. Purchased in a pinch because I was trying to sell my vehicle and I wanted to show the buyer that it was in good working order. Opened the packaging, plugged it in to the vehicle and the backlit display would not work. When I hit the buttons they made noises, but no screen. I tried plugging it into my computer to see if I could upgrade the firmware. Same story. No screen. As a last ditch effort I tried the battery, I put in a battery because it did not come with one although it says it does and that did not work either. The construction is garbage, the screen was scratched and I warn you NOT to buy this product. If there is even a shred of doubt in your mind, suck it up, spend the extra money and BUY AMERICAN. This device will fail. I am very disappointed.",It's garbage.,This device is absolute garbage. Purchased in a pinch because I was trying ...
4653,"This cereal is wonderfully addicting. It is very sweet, that it is just like a treat itself. I would have a bowl as ""dessert"" occasionally. It is all gone now and I am afraid to buy more because it is so good that I am afraid of eating it all too quickly! Definitely something to have in moderation.",Wonderful,"Very delicious ""treat"" indeed"
4654,Comes from China. Unknown viability yet.,Five Stars,Takes a while for delivery.
4655,It was very difficult to get into.  It was not particularly engaging and thus not particularly enjoyable.,It was very difficult to get into,Save your time!
4656,"Both times that I experimented with the product, I found the results unsatisfactory. It made my hair a bit smoother, but I could not achieve any real volume with it. The best I can say, is that it has a pleasant scent. But those with fragrance sensitivities/allergies may find themselves bothered by it.

And, I must agree with several reviewers who sagely noted that the components of the product are lessthanhealthy. The first two times I tried the whip, I quickly washed my hands afterward. Of course, logically, it was still in my hair ... and near/on my scalp. Ultimately, this made me way too nervous to continue to use it, so I tossed it.

There are number of better, more effective, less expensive products on the market. Although a little pricey,nbsp;a datahook""productlinklinked"" class""alinknormal"" href""/AlternaBambooVolume48HourSustainableVolumeSpray42oz/dp/B00CCYOHPQ/refcm_cr_arp_d_rvw_txt?ieUTF8""Alterna Bamboo Volume 48 Hour Sustainable Volume Spray4.2 oz./anbsp;is amazing!!! And completely natural! Give that one a try.",A little pricey,Not So Great for Volume ...
4657,"This is a game that belongs in it is own class. It is not a racing game or a fastpaced game, but a game that is actually as relaxing as it is fun. I got this for my husband who is SCUBA certified and loves the water thinking he might like it, and he plays it at least once a day. It is part treasurehunt and part educational. The graphics are amazing, and there are so many features of the game that make this game worthy of endless praise. You learn about marine animals by ""petting"" them, search for treasure, and earn additional SCUBA equipment as the game progresses. The only thing about this game that I wish was different is the fact that two people in the same room cannot play at the same time. You can connect to friends/family via the Wii's wifi connection, though. Overall, I cannot recommend this game enough. If you have a Wii, you NEED this game!",Definitely worth every penny!,Relaxing and fun!
4658,"It seems to help with the pressure on the knees, it is huge so I do not have any issues on that end, and no smell as mentioned in so many reviews they changed their formula apparently.  My only issue right now is that it is sliding around. It weighs around 16 lbs., but the big big one they sell weighs 5055 lbs. I am HOPING that resolves the issue for me!",I'm HOPING that resolves the issue,"No smell, good size, slips a little - get the bigger heavier one for $30 more"
4659,"This lil jewel is small light and easy to use. Powers some old Radio Shack shelf speakers I have really well. This is my second unit. I put an MP3 player on it for the back porch. Also took it and a 7ah battery need a concentric power plug,  center to the beach and it ran for 6 hours draws about 1 amp per hour so go for it! If it was really super hi fidelity I would give it the 5th star.",5 star,"Small and powerful, sounds very good, 12v power."
4660,9yo girl liked them!!,Five Stars,Four Stars
4661,"Was improperly manufactured and unable to execute the first move. I have solved this puzzle before and was starting to second guess myself. I tried everything from finess to a decent amount of force. Nothing would get it to budge.

Disappointed ",Is too late to say that it works.,Poor manufacturing / quality control
4662,"Works great. I used it and an extension kit with extra rods to to clean a 21 foot long vent with a two right angle turns and it did a fantastic job with the adapter that let us you put the rod through and attach a shop vac. Got a TON of lint out, about a 5 gallon bucket full. Inside of the vent was left shiny and clean. Good for safety especially with such a long vent and to my surprise the dryer actually works quite a bit better now. On the auto cycle I used to have to run it again if I was drying heavy things like jeans or blankets/comforters etc... to fully dry things. Now it does it in one cycle and take about 25 less time to go through the auto dry cycle.

I was just wanting to clean out a potential fire hazard but it really does make a big difference running through a dirty vent vs. a clean one. Might be due to the long length of my vent but very happy with this product.",Works great. I used it and an extension kit with extra rods to clean a 21 foot long vent,Worked like a charm
4663,"KitchenAid is known for it is quality products and these pans are no exception. They spread the heat very evenly  and even on my older stove where some of the burners are not totally level, these seem to still cook pretty evenly. The handle, despite being metal and uncovered, does not heat up either. Though there is a little bit of weight to these, I was actually surprised they were not heavier. I have had similar pans in the past that weighed more, so points on that front as well.

My typical test for how sticky pans are is scrambled eggs, since I do not use butter for them first. With the smaller of the two pans, I scrambled up the eggs and poured them right in the heated pan, and nope, no sticking. Cleaning up afterwards was easy as well  the usual sticking to the rivets on the interior but otherwise, the left overs came off easily. The packaging indicates rinsing with cold water on the hot pan before things stick, and I tried both that way, and the lazy way of eating and coming back later to clean up. Of course the first way made cleaning easier, but even letting things cool first before tackling it did not make it too difficult to get the egg leftovers off.

The nonstick aspect of these pans is also on the outside edges, so the stuff that dribbles down the sides comes off easily as well. Bonus! The fact it is also not just regular metal coating on the outside means you do not have to deal with the staining that happens with other pans.","... they are not as simple with the traditional pans, but also on exterior edges.","High quality, awesome pans"
4664,"Works great!  I purchased it to replace an old, banged up mouse.  I have no complaints whatsoever.","Works great! I bought it to replace an old, banged up mouse",Works great!
4665,"The one I got did not work right and had to just throw it away,  Threw the original macine away too, cheaper that trying to send it back, and I had to open it to see if it was the right thing, it was but there was something wrong with it.  So I chuncked it.",...,The one I got did not work right and had ...
4666,"The cacao is bitter but it is suppose to be like that. I use 2 Tbsp with about 8 oz of strawberry kefir and that makes for one delightful and nutritious drink! Also, I like how the manufacturer makes this product, they are very careful to retain as much nutritional value in the process as possible. It is a good price too......especially when considering this is truly a SUPERFOOD!",A great product!,Very good product
4667,Nice feel  detail well made worth the extra money sounds great,Five Stars,Five Stars
4668,These were a huge hit with my children in the kiddie pool this summer and they are a huge hit in the bathtub this winter.,Some of these are really good at the kiddie pool,These were a huge hit with my children in the ...
4669,"Did not come with the hardware screws. However, it looks great and fit very well.",Great piece of hardware,"Good product, no hardware"
4670,"I read this book in less than two days and can understand why so many other reviewers here found this book lacking compared to previous Stone Barrington novels. Perhaps they are right and Stuart Woods is slipping. However, while this book certainly is not a great novel, it also does not deserve a 1 star rating, either. Fans of Stuart Woods need to remember that Stone Barrington was created by the author as SOMETHING OF A CARICATURE. Several installments back, Mr. Woods even commented in one of his afterwords that readers had commented on Stone's sluttish behavior. He stated somewhat tongue in cheek that he tried to tone Stone's behavior down but Stone just would not toe the party line. In any case, these books are light reads and should not be confused with Tolstoy or Dickens. WORST FEARS REALIZED is just another fast paced read in the continuing saga of Stone Barrington and his upper crust NY friends. This book has it all: Stone bedding one gorgeous woman after another, lots of money, Mafia dons, released psychopaths hunting Stone and Dino Bachetti and killing their friends. This is a quick easy read and I found it entertaining. I laughed a lot at some of the funny lines that Woods gives his characters to deliver. Give the guy a break! Mr Woods has written over 21 books. How many of the critics here at Amazon have done that? How many readers could craft even the worst of his efforts and turn it into a bestseller? I defy any of the other 44 reviewers who submitted reviews before me to do so. I know I cannot and have not and therefore, reserve my harsher criticisms for those truly terrible pieces of trash that get past editors and publishers. This may not",A New York Girl's,"Fast Paced, But At Times Erratic"
4671,"Classic role playing, third person perspective, not open world but not rigidly  linear either.

The game loads easily  no need for an internet connection.  I did install the latest patch before playing.  The graphics can be adjusted higher than the default that it starts with.  In over 100 hours of playing I experienced 2 freezes and 1 crash.  Other reviewers have complained about quests that did not ""finish"".  Since I never try to complete every quest that was not a problem for me.

The game is very much in the style of the first KOTOR.  Select male/female, a few faces and hair styles, create a name, assign values to attributes, skills, etc.
There is a nice variety of environments and a good variety of followers.  select any 2 at one time as your companions  The designers did not try to reinvent the whole game, they just made a few improvements.  I especially liked being able to preset two weapon sets for each character and then just hitting an icon to switch.
The card game and swoop racing are back as nice diversions.  There are several points in the game including the very beginning where you are controlling a character or 2 or 3 other than your own.  That was a lot of fun.

The game is very well balanced between exploring, fighting, and conversing.  My only real complaint is there is way too much loot.  That is true of almost all rpg's including the first KOTOR.  By the end, you just click on stuff without bothering to read what it is.

I would recommend the game to anyone who likes classic role playing.  I wish they would make another one in the same style.",Still a good game,A worthy sequel to the original KOTOR
4672,Install these on a new front loader and the pipe hammering disappeared. The only way these can be installed any easier is if they install themselves. Great inexpensive product that works.,Works.,Silencing of the pipes
4673,dogs are not to excited about this ball,Five Stars,Three Stars
4674,"Really quite an excellent movie, great love story, only disrupting thing is it really happened something like this and many people lost their lives.",Great movie,Well done!
4675,"These grips are okay, i just did not like the little nipples on the white part because they are not all even. some of them almost feel so smooth its like they are not even there. i do like the way they match my ds4. i have the retro skin on mine and a transparent white control grip.

also thought id mention that these will indeed fit on the kontrol freek fps ultras. i needed a little more grip and height on the left stick. worked great.looks even better.",Great grip,eneven nipples..lol
4676,Very Nice CD.  Will compliment any collection.,Five Stars,Great Suppliment
4677,"I received my adapter before the wireless router also EnGenius and setup an ad hoc connection. Windows 7 found the adapter right after I connected it to a usb port. It is a small but stylish adapter. I like everything about it. After that it was just a matter of using Windows 7 Network and Sharing Center to setup the connection.

Of course, once the router arrived, it was a snap to setup the network, since Windows 7 had no problems finding the adapter and router. To setup a network using a router, plug in the wireless adapter and then follow the instructions for setting up the router. Easy installation and use, and low price makes each EnGenius product an excellent value.",Great for a few bucks,EnGenius Makes the Best Products
4678,"This protects very good. Installation is a snap. Snap the two pieces together, slide the rubber over it, apply exoskeleton. Done. Excellent drop protection. I use the holster, that was a big plus for me. I am not like everyone else that has it in front or back pocket. That option is not even usable in real world work applications. I have to bend, twist, lift, and turn. Even in baggy pants which I do not wear, Normal fitting jeans here you run the risk of cracking or bending on your phone that way. Only thing I miss is the Defender had was a kickstand, but this does not have that. I still prefer it over the Defender, plus rubber does not stretch out. I have dropped it, my 2 year has dropped it for me and phone keeps on going. A from me.",Works well,"Excellent Protection, prefer over the Otterbox Defender"
4679,Love it. Have used it for years,Five Stars,Five Stars
4680,I got this to give to my grandson for his 9th birthday...I was hoping that it would come boxed together instead of the DVD being seperate from the cards.  Not really a big deal I guess.  There are alot of tricks explained in the DVD and I am hoping that he likes it as much as I think he will.,Not a big deal I guess,Wish it was boxed together for giftability.
4681,Same ad the one I bought at my local Toyota,Five Stars,Five Stars
4682,"good refill, less packaging.",Five Stars,Five Stars
4683,"This kitchen scale is great for measuring many things and not only in the kitchen. It can be used to measure other things around the home. We have used it to measure fresh vegetables like Asian melons, cucumbers, bell peppers, and such from our small garden. You are limited only by your imagination and creativity.

It can be used to measure with or without the bowl. There are often items that I measure simply by placing them on top of the scale. I get an accurate measurement every single time.

The scale is meant for those who need to measure foods for a special diet. It is also for those trying a new recipe and they want to get an accurate measurement. It is good for anyone not on a diet but want to control their food portions in order to eat healthier.

This scale is meant for you if you want to get an accurate measurement of your food portions.

Personally, I would recommend this scale. I find it worth the price and it is very easy to use.",Great scale,I get an accurate measurement every single time
4684,Great,Five Stars,Five Stars
4685,"Arrived quickly, works well.",Five Stars,Yes!
4686,"I heard all the hype about tinkyada pastas and did a taste test between the tinkyada brown rice spiral and the orgran rice spiral  also brown rice.

My results were very disappointing.

The tinkyada took like 20 minutes to cook, the orgran took 7 minutes.

Tinkyada had a very gummy mouthfeel, the orgran spiral had a clean mouthfeel and a nice texture  after only 7 minutes in the water.

I made the tinkyada pasta using both sets of cooking directions on the package, same result  very disappointing.

Will I buy tinkyada again?  No!",A good selection!,this stuff is horrible
4687,excellent,Five Stars,I love it
4688,"When I was in the 10th grade I read Anne Rices Interview with the Vampire in one week. Please keep in mind that for a fourteen year old, one week was like two days. My love for Rice and her writing only intensified as I continued along with The Vampire Chronicles, and The Mummy will forever remain in my top ten list of favorite books. However, as the years continued, I found that Rice's novels were either a major hit or a major miss. I still consider myself a huge fan, so imagine my surprise when I learned that Rice was going to return to the Brat Prince/Lestat and continue his story. Around the world vampires are being massacred after a voice known as the Voice commands it. Selfimmolation is implied, but it is written that the older vampires can tolerate the bidding of the Voice, Lestat included, but the younger fledglings are bearing the brunt of the fires. Surviving vampires, in a panic because of a lack of leadership, are desperate for a leader and who better to return from a selfimposed exile than the Brat Prince himself, Lestat de Lioncourt. There were moments in the book that I completely loved, but there were others that completely bored me. Sure, I had high expectations because I was going to be reunited with old friends that I had first become acquainted with over twenty years ago. Rice did a fantastic job with incorporating such old characters with modern society. Many of these vampires have iPhones, listen to the radio, and take advantage of the luxuries technology provides. My beloveds were there, but then with the introduction of new characters I began to become a little disenchanted. Some of the new characters were indeed interesting, but I found myself skimming through","I was not a fan of Rice's book, but decided to revisit it",one week was like two days
4689,Fun!,Five Stars,Five Stars
4690,"I have sensitive skin and I have to be careful what I use on my skin.  Many products make my skin itch and sometimes I will get a red rash or blotches sounds lovely, huh?!  This shower gel is very gentle, does the job and does not make my skin itch nor because a rash.  The only thing I woud suggest is that they leave out the fragrance or have a fragrance free option.  Although the send is not too strong and is a nice scent.",- Does the job and does not make my skin,good stuff
4691,"Quick and easy set up, took only about 10 minutes to get it up and running. It seems to be working well even with a ton of leaves on the pool cover.",Fast setup,easy to use pump
4692,"Exactly what I expected, nice piece of jewelry for the price. The cross was a bit cheap but for the price it was expected",Nice piece of jewelry,Happy customer
4693,If you need this type tool buy the best.. this one.,Five Stars,Still the best
4694,"If you have ever used a primer likenbsp;a datahook""productlinklinked"" class""alinknormal"" href""/bareMineralsOriginalPrimeTimeFoundationPrimer/dp/B0017U10SI/refcm_cr_arp_d_rvw_txt?ieUTF8""bareMinerals Original Prime Time Foundation Primer/a, this goes on a bit like that. It is thick like really thick, viscous, and really slick. This never dried down for me. It always remained ""slick"" ... not oily but like polymer/silicon. I tried to used three different foundations over it since it reads ""AM,"" I figured it was designed to be compatible with cosmetics. I used a Tarte foundation stick ... the look was blotchy. I then tried a CC by Bare Minerals ... I had a little more success here, but it still looked odd. Finally, I gave my usual Bare Minerals powder foundation. No way. It was dark in some places, light in others. So, I have been using this on my days off since I received it and gave up trying to layer makeup over it.

I have seen no changes in my skin over; however, it bares noting that I use a pretty serious system as prescribed/designed by my dermatologist, so those in need of a skin rescue might see great change.

Additionally, take care with the dispenser. If you become careless like I did, some of the product will get stuck in between the case and the pump dispenser. I guess that is the cost of a ""cool"" looking container.

Overall, for me, this is not a musthave product. But for you, who knows! It could be! Especially, if it compatible with whatever foundation you wear!.",- for you!,"A Little Thick, A Little Difficult to Use with Some Cosmetics ..."
